display_name,material_type,din,eu,afnor,us,other,re_min,re_max,rm_min,rm_max,young_modulus,a,state,corrosion_resistance,anodizing_capacity,welding,machining,extension_capacity,ce_compliant,billet,plate,tubes,additive_manufacturing,price,procurable,catia_name,catia_family,Item Type
105OA,ALUMINUM,3.0255,105OA,3.3535,A5,1050,30,30,80,80,75,25,O,A,A,A,C,A,TRUE,FALSE,FALSE,FALSE,FALSE, -   € ,TRUE,Aluminium,Metal,Item
2017A,ALUMINUM,AlCu4MgSi,2017A,3.1325,AU4G,2017A,280,280,420,420,75,18,T4,A,A,A,B,B,TRUE,FALSE,FALSE,FALSE,FALSE, 6.00 € ,TRUE,Aluminium,Metal,Item
2024,ALUMINUM,AlCu4Mg1,2024,3.1355,AU4G1,2024,320,320,465,465,75,18,T3,C,C,D,B,D,TRUE,FALSE,FALSE,FALSE,FALSE, -   € ,TRUE,Aluminium,Metal,Item
2030,ALUMINUM,AlCuPbMg,2030,3.1645,AU4Pb,,390,390,450,450,75,10,T3,C,C,D,A,C,TRUE,FALSE,FALSE,FALSE,FALSE, -   € ,TRUE,Aluminium,Metal,Item
5083,ALUMINUM,AlMg4.5Mn,5083,3.3547,AG4,5,5083,160,160,305,305,75,23,O,A,A,,C,B,TRUE,FALSE,FALSE,FALSE,FALSE, 5.00 € ,TRUE,Aluminium,Metal,Item
5083,ALUMINUM,AlMg4.5Mn,5083,3.3547,AG4,5,5083,230,230,335,335,75,20,H116,A,A,A,B,B,TRUE,FALSE,FALSE,FALSE,FALSE, 5.00 € ,TRUE,Aluminium,Metal,Item
5754,ALUMINUM,AlMg3,5754,3.3535,AG3M,,100,100,220,220,75,23,O,A,A,A,C,B,TRUE,FALSE,FALSE,FALSE,FALSE, -   € ,TRUE,Aluminium,Metal,Item
6060,ALUMINUM,AlMgSi,6060,3.3206,AGS,6063,160,160,215,215,75,12,T6,A,A,B,C,C,TRUE,FALSE,FALSE,FALSE,FALSE, 4.00 € ,TRUE,Aluminium,Metal,Item
6061,ALUMINUM,AlMg1SiCu,6061,3.3211,,6061,240,240,290,290,75,9,T6,B,B,B,C,C,TRUE,FALSE,FALSE,FALSE,FALSE, 5.00 € ,TRUE,Aluminium,Metal,Item
6082,ALUMINUM,AlSi1Mg,6082,3.2315,ASGM0.7,,280,280,315,315,75,12,T6,A,A,B,C,C,TRUE,FALSE,FALSE,FALSE,FALSE, 6.00 € ,TRUE,Aluminium,Metal,Item
7075,ALUMINUM,AlZn6MgCu,7075,3.4365,AZ5GU,7075,495,495,565,565,75,11,T6,C,B,D,B,D,TRUE,FALSE,FALSE,FALSE,FALSE, 8.00 € ,TRUE,Aluminium,Metal,Item
105OA,ALUMINUM,3.0255,105OA,3.3535,A5,1050,80,80,115,115,75,42,H24,A,A,A,B,B,TRUE,FALSE,FALSE,FALSE,FALSE, -   € ,TRUE,Aluminium,Metal,Item
17-4 PH,STAINLESS STEEL,1.4542,17-4 PH,Z7CNU15-05,630,X5CrNiCuNb16-4,520,1170,795,1310,210,,,A,,A,,,TRUE,TRUE,FALSE,FALSE,FALSE, 15.00 € ,TRUE,Steel,Metal,Item
316L,STAINLESS STEEL,1.4404,316L,Z2CND17.12,316L / A743,X2CrNiMo17-12-2,100,200,500,500,210,,,B,,A,,,TRUE,TRUE,TRUE,FALSE,TRUE, 8.00 € ,TRUE,Steel,Metal,Item
304,STAINLESS STEEL,1.4301,304,Z4CN19-10FF,304 / A276,X5CrNi18-10,90,190,500,500,210,,,B,,A,,,TRUE,TRUE,TRUE,FALSE,FALSE, 8.00 € ,TRUE,Steel,Metal,Item
